Xco,Yco,VertRan,SlopeAvg,SlopeMa25,SlopeMa10,DistMSoil,SoilDMVL,SoilDMWT,CanopyCAvg,CanopyCMax,CanopyCMin,TreeInfLiv,TreeInfAll,BasalArea,CrownI,LitterI,SnowC0423,WatTab100,WatTab90,WatTab50,WatTab10,WatTab0,WatTabRan,WatTabHMi,WatTabLMa,WatTem0527,WatTem0826,WatpH0527,WatpH0826,WatECo0527,WatECo0826,WatO0527,WatO0826,SoilVolWt,SoilLossOI,SoilpHH2O,SoilpHKCl,SoilCEC,SoilBaSat,HumusC,HumusN,HumusP,HumusS,HumusExAc,HumusCa,HumusMg,HumusK,HumusNa,HumusBa,HumusFe,HumusMn,HumusSr,HumusZn,HumusAl,NVas,NMos,NSph,NHep,NCry,NTot,DCA1,DCA2,DCA3,DCA4,SSK1,SSK2,SSK3,SSK4,SSK5,SSK6,SSK7,SSK8,SSK9,SSK10
1130.2,112.9,0.552,0.504,0.693,0.533,0.248,0.796,0.783,0.415,0.272,0.429,0.546,0.651,0.796,0.547,0.036,0.000,0.099,0.144,0.204,0.247,0.308,0.135,0.103,0.226,0.822,0.698,0.611,0.455,0.362,0.587,0.715,0.446,0.478,0.477,0.540,0.558,0.739,0.773,0.712,0.709,0.751,0.591,0.183,0.656,0.503,0.710,0.462,0.456,0.507,0.775,0.547,0.474,0.350,0.592,0.237,0.769,0.324,0.468,0.491,0.96,0.72,2.39,2.03,0,1,0,0,0,0,0,0,0,0
1128.7,99.5,0.330,0.458,0.377,0.225,0.807,0.913,0.905,0.432,0.331,0.429,0.612,0.538,0.363,0.304,0.376,0.000,0.464,0.467,0.468,0.459,0.427,0.556,0.459,0.638,0.691,0.742,0.067,0.074,0.590,0.398,0.576,0.382,0.468,0.759,0.153,0.176,0.458,0.278,0.781,0.440,0.867,0.347,0.604,0.334,0.375,0.748,0.302,0.383,0.764,0.156,0.397,0.382,0.596,0.293,0.237,0.769,0.000,0.388,0.239,0.06,1.69,2.35,1.28,0,1,0,0,0,0,0,0,0,0
1126.2,101.2,0.000,0.315,0.078,0.127,0.919,0.951,0.948,0.229,0.121,0.266,0.118,0.029,0.464,0.190,0.000,0.283,0.434,0.450,0.454,0.462,0.451,0.480,0.342,0.741,0.733,0.851,0.337,0.030,0.558,0.483,0.558,0.541,0.514,0.775,0.366,0.329,0.450,0.253,0.557,0.499,0.910,0.382,0.618,0.322,0.359,0.521,0.589,0.307,0.726,0.163,0.387,0.343,0.531,0.433,0.237,0.769,0.324,0.468,0.385,0.40,1.69,1.90,1.56,0,1,0,0,0,0,0,0,0,0
1107.7,113.2,0.689,0.622,0.639,0.602,0.716,0.769,0.750,0.381,0.167,0.485,0.650,0.731,0.569,0.596,0.509,0.016,0.297,0.306,0.339,0.362,0.377,0.350,0.527,0.445,0.628,0.698,0.553,0.586,0.720,0.771,0.494,0.368,0.317,0.835,0.248,0.206,0.485,0.272,0.406,0.393,0.774,0.292,0.613,0.345,0.392,0.627,0.406,0.251,0.492,0.274,0.322,0.535,0.361,0.592,0.237,0.649,0.514,0.505,0.516,1.33,1.31,1.34,1.58,0,1,0,0,0,0,0,0,0,0
1102.5,116.5,0.768,0.873,0.740,0.807,0.401,0.862,0.843,0.836,0.615,0.825,0.500,0.138,0.363,0.686,0.594,0.016,0.630,0.694,0.720,0.751,0.770,0.326,0.719,0.693,0.522,0.770,0.248,0.236,0.531,0.469,0.517,0.495,0.376,0.738,0.348,0.301,0.625,0.322,0.373,0.328,0.642,0.365,0.620,0.443,0.528,0.321,0.520,0.587,0.622,0.497,0.547,0.531,0.701,0.293,0.704,0.400,0.703,0.819,0.611,1.54,3.07,1.22,1.61,0,1,0,0,0,0,0,0,0,0
1126.4,93.9,1.000,0.932,0.819,0.833,0.734,0.852,0.834,0.381,0.218,0.540,0.925,0.789,0.330,0.406,0.335,0.047,0.625,0.639,0.653,0.679,0.683,0.499,0.817,0.201,0.543,0.825,0.228,0.156,0.368,0.299,0.376,0.530,0.222,0.789,0.282,0.219,0.574,0.186,0.523,0.320,0.796,0.553,0.721,0.355,0.392,0.538,0.582,0.420,0.757,0.144,0.407,0.437,0.734,0.554,0.796,0.649,0.648,0.905,0.821,1.35,3.01,1.70,1.47,0,1,0,0,0,0,0,0,0,0
1117.9,99.4,0.706,0.691,0.782,0.385,0.981,0.972,0.971,0.330,0.167,0.429,0.783,0.862,0.430,0.593,0.794,0.218,0.478,0.500,0.508,0.543,0.566,0.396,0.510,0.355,0.593,0.811,0.206,0.174,0.274,0.396,0.538,0.618,0.426,0.799,0.145,0.163,0.470,0.255,0.311,0.361,0.899,0.380,0.624,0.341,0.353,0.493,0.346,0.335,0.651,0.192,0.344,0.444,0.444,0.475,0.550,0.649,0.429,0.636,0.540,0.93,2.02,1.44,1.68,0,1,0,0,0,0,0,0,0,0
1112.8,102.7,0.768,0.691,0.506,0.411,0.874,0.948,0.946,0.229,0.077,0.374,0.252,0.056,0.643,0.280,0.180,0.859,0.295,0.289,0.281,0.262,0.128,0.574,0.470,0.021,0.656,0.727,0.209,0.210,0.184,0.075,0.592,0.638,0.264,0.595,0.357,0.325,0.607,0.456,0.398,0.473,0.750,0.570,0.536,0.497,0.460,0.314,0.413,0.457,0.517,0.203,0.488,0.464,0.605,0.627,0.494,0.886,0.429,0.665,0.656,0.93,1.71,1.55,1.75,0,1,0,0,0,0,0,0,0,0
1107.0,106.5,0.214,0.303,0.148,0.027,0.600,0.929,0.926,0.313,0.121,0.429,0.046,0.792,0.498,0.135,0.000,0.966,0.222,0.224,0.204,0.198,0.137,0.480,0.188,0.437,0.656,0.742,0.337,0.262,0.366,0.211,0.674,0.408,0.420,0.589,0.344,0.325,0.615,0.531,0.305,0.507,0.807,0.567,0.483,0.524,0.453,0.144,0.466,0.567,0.456,0.270,0.550,0.546,0.557,0.516,0.237,0.769,0.000,0.388,0.385,0.93,0.75,1.92,1.92,0,1,0,0,0,0,0,0,0,0
1123.1,81.7,0.706,0.549,0.506,0.628,0.133,0.352,0.247,0.130,0.037,0.320,0.046,0.648,0.234,0.135,0.000,0.896,0.687,0.700,0.691,0.662,0.613,0.719,0.789,0.664,0.473,0.683,0.084,0.141,0.541,0.000,0.623,0.530,0.376,0.964,0.075,0.037,0.403,0.053,0.553,0.314,0.854,0.238,0.797,0.124,0.430,0.752,0.254,0.279,0.538,0.119,0.296,0.699,0.498,0.433,0.164,0.270,0.324,0.247,0.239,0.70,2.77,1.18,0.68,0,1,0,0,0,0,0,0,0,0
